url,index,error_msg,analysis_raw
xKu1GuvwuIs,859,timed out,"{""summary"":""한국이 초음파 기반의 비약물 치매 치료법을 선보이며, 저비용·비침습·집에서도 사용 가능한 솔루션으로 치매 예방·치료를 가능케 한다는 주장을 전한다."",""emotional_tone"":7,""key_entities"":[""YTN"",""빅파마"",""FDA"",""삼성"",""중국"",""한국""],""context_bridge"":""영상은 초음파를 이용해 뇌의 아밀로이드 플라크를 청소하는 비약물 치매 치료법을 소개한다. 기존의 고비용·부작용이 큰 약물 치료와 대비해, 저비용·비침습·집에서도 가능하다는 장점을 강조하며, 한국의 기술력과 시장 잠재력을 부각한다. 시청자에게는 조기 사용의 필요성과 치료비·기계 가격에 대한 우려를 동시에 제시하며, ‘빅파마’와 ‘FDA’ 같은 외부 규제 기관과의 관계를 언급해 정치·경제적 맥락을 드러낸다.""}"
6K3-Qv9OAsg,1011,Unterminated string starting at: line 1 column 310 (char 309),"{""summary"":""The video claims that Lee Jae‑myung’s administration is in a direct confrontation with the Unification Church, portraying it as a clash between two powerful forces."",""emotional_tone"":8,""key_entities"":[""Lee Jae‑myung"",""Unification Church"",""Kim Dae‑jung"",""Kim Hyun‑ji"",""정진상"",""김부선""],""context_bridge"":""The video frames the issue as a political showdown: the Lee Jae‑myung government allegedly targets the Unification Church for alleged corruption, political influence, and ties to North Korea. It presents a narrative of the administration’s aggressive actions—such as appointing church affiliates to key positions and launching investigations—while portraying the church as a powerful, cult‑like entity. The comments echo this polarized framing, with some accusing the government of overreach and conspiratorial motives, and others defending the church and criticizing the administration. The logic hinges on allegations of money laundering, political appointments, and alleged North‑Korean connections, positioning the conflict as a battle between democratic governance and a powerful religious organization.”}"
9TvYN7DQ4SQ,1023,timed out,"{""summary"":""The video urges Judge Ji Gwi‑yeon to deliver a fair and correct judgment in the trial involving witness Kim Yong‑hyun."",""emotional_tone"":9,""key_entities"":[""Kim Yong‑hyun"",""Ji Gwi‑yeon"",""Yoon Suk‑yeol"",""Kim Byung‑ju"",""Democratic Party (민주당)"",""Communist Party (공산당)""],""context_bridge"":""The clip frames the judge’s plea as a call for impartiality amid a politically charged trial of a military witness.  Commenters split into two camps: one lauds the judge and the military, framing the case as a defense of national security and a test of loyalty, while the other accuses the judiciary of bias, links the issue to emergency martial law and broader partisan struggles, and demands a fair verdict.  This creates a narrative loop where the judge’s statement is used to rally support for the military, and the comments amplify partisan tensions around the judiciary, national sovereignty, and the legitimacy of emergency measures.""}"
qemSYO6Jvog,1028,timed out,"{""summary"":""Video alleges China has built 16 structures in the West Sea as part of gray‑zone tactics, sparking public outrage over perceived Korean government inaction."",""emotional_tone"":9,""key_entities"":[""정부"",""중국"",""이재명"",""정치권""],""context_bridge"":""The clip frames China’s construction of 16 structures in the West Sea as a covert gray‑zone strategy, positioning it as an aggressive move. Viewers interpret this as evidence of Chinese encroachment and criticize the Korean government for perceived inaction or collusion. The comments trace a logical chain: Chinese aggression → government failure → public anger → calls for retaliation or policy change, often invoking political figures such as Lee Jae‑myung and labeling political elites as spies.""}"
ovVn_0gT4K4,1047,timed out,"{""summary"":""Japan has issued its first late earthquake warning, citing a worst‑case death toll of 200,000, to alarm viewers."",""emotional_tone"":9,""key_entities"":[""Japan"",""Channel A""],""context_bridge"":""The video frames Japan’s new late earthquake warning as a severe threat, using the dramatic figure of 200,000 potential deaths to emphasize urgency and to highlight Japan’s disaster‑preparedness policies, thereby framing the issue within the broader Korea‑Japan political context and generating high emotional volatility.""}"
IxvIPYkzTo8,1121,timed out,"{""summary"":""The video shows President Lee Jae‑myung reacting to Kim Hyun‑ji, implying a supportive stance toward her role as a public official, while the comments largely criticize Kim Hyun‑ji as a spy and question her legitimacy."",""emotional_tone"":9,""key_entities"":[""Kim Hyun‑ji"",""Lee Jae‑myung"",""Kim Hye‑ji"",""Kim Kwan‑hee"",""Kim Nam‑uk"",""Woo Sang‑ho"",""Kim Byung‑gi"",""Moon Jin‑seok"",""Jo Hee‑dae"",""Jo Jin‑woong"",""Korean Democratic Party"",""Korean Conservative Party""],""context_bridge"":""The video presents a brief clip of President Lee Jae‑myung reacting to Kim Hyun‑ji, suggesting endorsement of her public‑service role. The surrounding comments reveal a highly polarized political climate: supporters of the opposition criticize Kim Hyun‑ji as a spy and question her legitimacy, while some defend her. This reflects broader tensions between the ruling Democratic Party and opposition parties, with accusations of political manipulation and espionage fueling emotional volatility.""}"
-foEYRkDdYc,1180,timed out,"{""summary"":""The video accuses Seoul mayor 오세훈 of neglecting snow‑removal duties and being abroad during a severe snowstorm, implying he failed to protect citizens’ basic needs."",""emotional_tone"":9,""key_entities"":[""오세훈"",""서울시장"",""국힘"",""한강버스"",""오세이돈""],""context_bridge"":""The argument centers on the mayor’s perceived inaction during a snow disaster, framing it as a failure of public duty and a political indictment of both the elected official and his supporters. Comments amplify this narrative with anger, sarcasm, and calls for accountability, linking the issue to the ruling party (국힘) and broader expectations of municipal governance.""}"
569ppsEvaw8,1206,timed out,"{""summary"":""The video accuses the Constitutional Court Committee of failing to pass the Constitutional Court law and instead approving a lower‑level public law, thereby stalling judicial reform."",""emotional_tone"":9,""key_entities"":[""김용민"",""추미애"",""정청래"",""김병기"",""김변기"",""민주당"",""국회"",""헌법재판소""],""context_bridge"":""The clip frames the Constitutional Court Committee’s handling of the Constitutional Court law as a dereliction of duty, arguing that the committee’s failure to enact the law and its decision to pass a lesser public law represent a deliberate delay in judicial reform.  Commenters echo this narrative, expressing intense frustration at the perceived inertia, urging swift passage of the law, and demanding the establishment of a ‘civil‑war court’ (내란재판소) to curb perceived abuses.  The political backdrop is the Democratic Party’s internal debate over judicial reform, with key figures such as 김용민, 추미애, 정청래, 김병기, and 김변기 cited as central actors.  The emotional tenor is highly charged—anger, urgency, and fervent support dominate the discourse, reflecting a volatile public sentiment toward the committee’s performance and the broader reform agenda.""}"
lQNAFbsuUMA,1240,timed out,"{""summary"":""The video portrays Kim Eo‑jun’s news factory as the heroic force that, with the help of politicians, broadcasters and ordinary citizens, successfully defended the Korean parliament against a coup attempt on December 3, 2025, and urges viewers to recognize and support this democratic triumph."",""emotional_tone"":9,""key_entities"":[""김어준"",""안귀령"",""박구용"",""이재석"",""주진우"",""홍사훈"",""최민석"",""최서영"",""김희정"",""우혜경"",""강영수"",""박무"",""배경환"",""이재명"",""추경호"",""조희대"",""지귀연"",""영장판사"",""이정재"",""정재욱"",""박정호"",""남세진"",""국회"",""내란"",""계엄"",""민주당"",""조국혁신당"",""영화공장(란 123)""],""context_bridge"":""The video constructs a narrative that frames the December 3 event as a decisive defense of democracy: it begins by presenting the coup threat (내란, 계엄), then highlights the coordinated response of Kim Eo‑jun’s news factory, key politicians, and citizen volunteers, showcasing their courage and unity. It culminates in a call for gratitude and continued support, positioning the audience as active participants in safeguarding democratic values.""}"
BtmDYY8osmA,1244,timed out,"{""summary"":""The video claims that the current government owes its legitimacy to the citizens who ran to the National Assembly during the 12.3 internal rebellion, and it celebrates their courage through the show ‘겸공’ as a tribute to that historic act."",""emotional_tone"":8,""key_entities"":[""김어준"",""황인수"",""이호"",""락맨"",""정구승"",""박동규"",""이명세"",""박구용"",""홍사훈"",""홍상훈"",""홍기자"",""이재명"",""내란세력"",""계엄"",""국회"",""12.3"",""내란범"",""내란동조범""],""context_bridge"":""The video frames the 12.3 internal rebellion as the foundational act that enabled the current government, positioning the show ‘겸공’ as a tribute to the citizens who ran to the National Assembly during martial law. It emphasizes gratitude, calls for punishment of ‘내란세력’, and portrays the current administration as a product of citizen bravery, thereby linking historical events to contemporary politics.""}"
S6-8EgKhN34,1259,timed out,"{""summary"":""The video argues that after the Yi Jae‑myung trial, the next focus should be on judicial reform involving Kim Yong‑nam and Shin In‑kyu."",""emotional_tone"":9,""key_entities"":[""홍사훈쑈"",""이재명"",""김용남"",""신인규"",""조희대"",""지귀연"",""한성진"",""윤석열"",""김건희"",""국민의힘"",""민주당""],""context_bridge"":""The video presents a causal chain: the Yi Jae‑myung trial is the trigger, leading to a call for judicial reform centered on Kim Yong‑nam and Shin In‑kyu. It frames the judiciary as corrupt, demands impeachment of judges, and portrays the political struggle as a battle between reformist and conservative forces. The comments reinforce this narrative with intense anger, calls for impeachment, and demands for decisive action.""}"
zsiGRZ85Ad4,1277,timed out,"{""summary"":""The video reports that a court has decided to impose a 5‑day suspension on lawyer Kim Yong‑hyun for courtroom misconduct, sparking public debate over judicial leniency and reform."",""emotional_tone"":9,""key_entities"":[""김용현"",""법정소란"",""사법부"",""연합뉴스TV""],""context_bridge"":""The clip presents a court ruling that suspends lawyer Kim Yong‑hyun for five days due to courtroom misconduct. Viewers react with intense frustration and calls for harsher penalties, framing the incident as evidence of a need for judicial reform and stricter enforcement of professional conduct.""}"
z8EyMxyB0Mk,1332,timed out,"{""summary"":""The video alleges that serial killer Um Yeo‑in, who allegedly murdered numerous people—including family members—remains alive in prison after receiving a life sentence instead of the death penalty, and that the court’s decision is unjust."",""emotional_tone"":9,""key_entities"":[""Um Yeo‑in"",""Signal (TV show)"",""Kim Seon‑ja"",""이재명""],""context_bridge"":""The video presents a narrative that Um Yeo‑in is a serial killer who has committed multiple murders, including those of her own family, and that the court’s life‑sentence ruling is a failure of justice. Commenters react with intense anger, disgust, and disbelief, demanding a death penalty and comparing the case to other notorious Korean serial killers. The mention of political figure 이재명 introduces a political dimension, suggesting that the case may be used to critique broader political or judicial shortcomings. The overall emotional volatility is high, with commenters expressing outrage, contempt, and a call for harsher punishment.""}"
aRGBXKVX7PE,1377,timed out,"{""summary"":""The video claims that Supreme Court President Cho Hee‑dae has been indicted for the first time while in office, and that Lee Jae‑myung must be tried immediately, accusing the judiciary of corruption and demanding swift justice."",""emotional_tone"":9,""key_entities"":[""Cho Hee‑dae"",""Lee Jae‑myung"",""Kim Hyun‑ji"",""Jang Kyung‑tae"",""Joo Jin‑woong"",""Lee Ki‑in"",""Seo Joo‑wan"",""Reform New Party"",""Democratic Party""],""context_bridge"":""The video presents a narrative that the Supreme Court’s top official, Cho Hee‑dae, has been indicted while still in office, implying systemic judicial corruption. It then links this indictment to the alleged crimes of Lee Jae‑myung, calling for his immediate trial and arrest. The argument frames the situation as a democratic crisis, urging citizens to demand swift justice and to hold powerful politicians accountable. The comments reinforce this narrative with intense anger, calls for trial, and support for Cho, reflecting a highly charged political context.""}"
m6xEQsuF0NE,1409,timed out,"{""summary"":""The program critiques current political scandals—Cho Kuk’s controversy, the 12.3 incident, and the Coupang crisis—while urging swift judicial reform."",""emotional_tone"":8,""key_entities"":[""김종배"",""조국"",""김영진"",""우석진"",""김원장"",""김남국"",""MBC"",""쿠팡""],""context_bridge"":""The episode is structured as a series of segments, each tackling a high‑profile political controversy: a debate on former law minister Cho Kuk, a discussion on the 12.3 incident involving Kim Nam‑uk, and an analysis of the Coupang scandal. Throughout, the hosts emphasize the need for rapid judicial reform and criticize the political actors involved, framing the narrative as a call for accountability and systemic change.""}"
yjFUA7LcCxM,1410,timed out,"{""summary"":""The program critiques current political scandals—Cho Kuk’s controversy, the 12.3 incident, and the Coupang crisis—while urging swift judicial reform."",""emotional_tone"":8,""key_entities"":[""김종배"",""조국"",""김영진"",""우석진"",""김원장"",""김남국"",""MBC"",""쿠팡""],""context_bridge"":""The episode is structured as a series of segments, each tackling a high‑profile political controversy: a debate on former law minister Cho Kuk, a discussion on the 12.3 incident involving Kim Nam‑uk, and an analysis of the Coupang scandal. Throughout, the hosts emphasize the need for rapid judicial reform and criticize the political actors involved, framing the narrative as a call for accountability and systemic change.""}"
Z3_aNtvt5uM,1448,"Expecting ',' delimiter: line 1 column 6686 (char 6685)","{""summary"":""The video accuses several beauty brands—particularly Anua and Picam—of engaging in deceptive advertising and fraud, claims that regulatory bodies have failed to hold them accountable, and urges viewers to be vigilant and support investigative efforts."",""emotional_tone"":9,""key_entities"":[""Anua"",""Picam"",""Kim Ki‑soo"",""Rodiola"",""Resencial"",""Sangmyeong (Sangmyeong?)"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmye..."",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmyeong?"",""Sangmye..."",""Sangmyeong?"",""Sang..."",""Sang..."",""Sang..."",""Sang..."",""Sang..."",""Sang..."",""Sang..."",""Sang..."",""Sang..."",""Sang..."",""Sang..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""S..."",""...""},""context_bridge"":""The video presents a chain of evidence: first, it shows specific marketing claims from beauty brands (Anua, Picam, etc.) that are alleged to be false or exaggerated; second, it cites personal consumer experiences and user comments that corroborate these claims; third, it highlights the lack of regulatory enforcement by bodies such as the Fair Trade Commission, the Ministry of Food and Drug Safety, and the Ministry of Health and Welfare; finally, it calls for public vigilance, support for investigative content, and demands stronger consumer protection laws.""}"
38GfndCQpwg,1658,timed out,"{""summary"":""The video claims that domestic collaborators supporting the political establishment must be punished for undermining democracy."",""emotional_tone"":9,""key_entities"":[""이재명"",""오세훈"",""윤석열"",""성동구"",""조선일보"",""KBS"",""새날"",""한두자니""],""context_bridge"":""The video frames domestic collaborators as a threat to democracy, citing specific politicians and media outlets, and calls for punitive action. It uses emotional rhetoric, rhetorical questions, and references to current political events to persuade viewers that punishment is necessary.""}"
MNg3zJRBvJo,1758,"Expecting ',' delimiter: line 1 column 965 (char 964)","{""summary"":""A video shows a black bear attacking a trainer at a Chinese zoo, resulting in a chaotic struggle that raises concerns about animal abuse and trainer safety."",""emotional_tone"":8,""key_entities"":[""중국 동물원"",""조련사"",""흑곰"",""연합뉴스""],""context_bridge"":""The clip depicts a bear physically confronting a trainer in a Chinese zoo, with the trainer being knocked down and a free‑for‑all fight ensuing. Commenters frame the incident as evidence of animal mistreatment, trainer negligence, or the bear’s frustration over lack of food or training. The narrative oscillates between portraying the bear as a victim of abuse and a dangerous animal, reflecting broader debates about animal entertainment, welfare, and the ethics of using animals for human spectacle. While explicit political parties are absent, references to international tensions (e.g., Russia vs China) and criticism of animal shows suggest a wider critique of exploitation and human‑animal power dynamics.""]}"
DVZjk4RNqhM,1811,timed out,"{""summary"":""The video claims that the Jo Jin‑woong scandal is being weaponized in politics, linking him to President Lee Jae‑myung and portraying opposition parties as actively attacking him."",""emotional_tone"":8,""key_entities"":[""Jo Jin‑woong"",""Lee Jae‑myung"",""Yoon Seok‑yeol"",""Kim Jong‑un"",""Jo Se‑ho"",""Park Na‑rae"",""Lee Seon‑kyun"",""Cho Kuk"",""Kang Seon‑woo"",""Son Bae‑gyu"",""Lee Ki‑in"",""Lee Jae‑young"",""Jo Doo‑soon"",""Korean conservatives"",""Opposition parties"",""Political arena"",""Entertainment industry""],""context_bridge"":""The video presents a narrative that the Jo Jin‑woong controversy has been co-opted by political actors, specifically linking the actor to President Lee Jae‑myung. It argues that opposition parties are exploiting the scandal to undermine the president’s image, framing the issue as a political weapon rather than a purely criminal matter. The logic hinges on associating the actor’s alleged crimes with political motives, suggesting that the scandal’s spread is intentional and politically driven.""}"
STq2i1SeD68,1823,timed out,"{""summary"":""The video claims that illegal sidewalk parking in a residential area vanished within a day, implying a swift resolution by local authorities."",""emotional_tone"":9,""key_entities"":[],""context_bridge"":""The video presents a rapid disappearance of illegal sidewalk parking, suggesting effective local enforcement. However, comments reveal that the issue stems from chronic parking shortages, inadequate municipal action, and public frustration with officials, highlighting a disconnect between the video's narrative and the broader systemic challenges.""}"
4ILqwopZ73c,1893,timed out,"{""summary"":""The video argues that if a minister resigns, then N. Kim (나경원) should also resign, accusing him of being an accomplice to the insurrection and demanding political accountability."",""emotional_tone"":9,""key_entities"":[""박은정"",""나경원"",""추경호"",""윤석열"",""국회"",""민주조국당"",""국힘"",""내란당"",""내란공범"",""진주""],""context_bridge"":""The video presents a chain of logic: it starts by asserting that a minister’s resignation signals a breach of duty, then extends that logic to N. Kim, labeling him an ‘insurrection accomplice’ and calling for his resignation. It frames the issue within the broader political conflict between the ruling party and opposition factions, citing specific incidents (e.g., 추경호’s actions during martial law) to support its claim. The comments reinforce this narrative by expressing strong support for 박은정, anger toward other politicians, and mocking language toward perceived opponents, reflecting a highly polarized and emotionally charged political discourse.""}"
FltopJ9t5uc,1900,"Expecting ',' delimiter: line 1 column 1020 (char 1019)","{""summary"":""The video claims that Kim Yong‑min’s criticism of judge Ji Gwi‑yeon exposes a corrupt judiciary that must be reformed, implying his actions will trigger a dramatic overhaul of the court system."",""emotional_tone"":9,""key_entities"":[""Ji Gwi‑yeon"",""Kim Yong‑min"",""Cheon Dae‑yeop"",""Jo Hee‑dae"",""Kim Hak‑woo"",""Kim Geon‑yi"",""No Sang‑won"",""Kim Hyun‑tae"",""Lee Jae‑myung"",""민주당""],""context_bridge"":""The video presents the judiciary as a corrupt institution, citing specific judges (Ji Gwi‑yeon, Cheon Dae‑yeop, Jo Hee‑dae) and controversial cases (e.g., Kim Hak‑woo’s innocence) to illustrate systemic malfeasance. It frames Kim Yong‑min’s outspoken criticism as the catalyst that will expose these injustices and precipitate a comprehensive judicial reform, including removal of complicit judges and restructuring of court administration. The comments reinforce this narrative by demanding judicial accountability, calling for the removal of implicated judges, and expressing strong support for Kim Yong‑min’s stance.""]}"
4FeRtvGt3nM,1925,timed out,"{""summary"":""영상은 여배우 박지원이 정치적 부패와 연관된 인물이며, 현재 정치 체제의 부정과 부패를 폭로하고 시청자에게 부정선거와 부정한 정치인들을 제거하라고 촉구한다."",""emotional_tone"":9,""key_entities"":[""박지원"",""성제준"",""이재명"",""윤석열"",""문재인"",""김대중"",""박근혜"",""김현지"",""정청래"",""서영교"",""장경태"",""조진웅"",""김부선""],""context_bridge"":""영상은 박지원이 부패의 상징으로 제시되며, 이를 근거로 현재 정치 체제는 부정선거와 부패로 가득 차 있다고 주장한다. 논리 구조는 ‘박지원이 부패의 상징’ → ‘정치 체제는 부정과 부패로 가득 차 있다’ → ‘시청자에게 부정한 정치인들을 제거하고 정당을 재구성하라’는 형태로 전개된다.""}"
